"",".id","pars","X50.","X2.5.","X97.5.","Rhat","n_eff","n_eff_less10pct"
"339","nwis_01608500","phi",0.821914084124712,0.764522494581433,0.877497875843467,1.00081351885031,3854.61131559935,"false"
"340","nwis_01608500","alpha",0.519853420168776,0.372507373203639,0.672519954231005,1.00051010758852,3596.10668049007,"false"
"341","nwis_01608500","beta",-0.68765784486576,-0.939310333472609,-0.453567416087471,1.00003551303031,3926.9452027952,"false"
"342","nwis_01608500","sig_p",0.304486073508919,0.267530697584421,0.348645733291209,1.00035247458925,2696.56402162275,"false"
"343","nwis_01608500","sig_o",0.605290047503652,0.509048314085145,0.708265049633502,1.00066161274506,1542.22055614988,"true"
"661","nwis_01649190","phi",0.800222351271697,0.695965341394738,0.886048354951976,1.00448471753505,828.519996905645,"true"
"662","nwis_01649190","alpha",0.296229675254098,0.129644621346345,0.464504411539004,1.00099703224411,4085.2262703602,"false"
"663","nwis_01649190","beta",-3.67746888501549,-5.00206883569542,-2.43943548826632,1.00472584095311,1374.52060959739,"true"
"664","nwis_01649190","sig_p",0.44885581497756,0.364718002100532,0.546288631391153,1.00533342503861,665.265660262691,"true"
"665","nwis_01649190","sig_o",0.341881429317669,0.271613028504499,0.417663789079904,1.00759772026142,668.440593224392,"true"
"990","nwis_02336526","phi",0.942357954219002,0.897973232312252,0.982304951898701,1.00205099978271,2193.8239068971,"false"
"991","nwis_02336526","alpha",0.154143064830108,0.0644436252146681,0.245835601044215,1.00018625706137,5124.10426526272,"false"
"992","nwis_02336526","beta",-2.31386417957798,-3.23292365388368,-1.42894793373554,1.00020037732709,4651.56369608366,"false"
"993","nwis_02336526","sig_p",0.320022268356447,0.270272041770897,0.375508575660438,1.00147921748413,1573.69094457401,"true"
"994","nwis_02336526","sig_o",0.251509869476244,0.204220945061601,0.299804580959142,1.00211580912025,1208.76857887724,"true"
"1342","nwis_07191222","phi",0.941490709280417,0.894409668436297,0.980642490331318,1.0004328024949,2495.32201419363,"false"
"1343","nwis_07191222","alpha",0.0494976246039756,0.0135384974434867,0.0929076117990262,1.00117598131131,2852.90914565778,"false"
"1344","nwis_07191222","beta",-0.130306314657463,-0.296437975980035,-0.0146725106449099,1.00081824114685,6701.21171587252,"false"
"1345","nwis_07191222","sig_p",0.140887604351554,0.112409947285054,0.171914755598365,1.00337802348977,955.425109534188,"true"
"1346","nwis_07191222","sig_o",0.178556144669281,0.147853565490902,0.210301369962369,1.00271006966378,1265.22259916664,"true"
"1685","nwis_08447300","phi",0.940270753022424,0.908646601341553,0.968023836250481,1.00074174507104,4172.08676774124,"false"
"1686","nwis_08447300","alpha",0.195090193624642,0.107937385409606,0.294308244084491,1.00079994130217,4000.68138185691,"false"
"1687","nwis_08447300","beta",-0.00641218321077803,-0.0292588514732393,-0.000254218729230642,0.999840389592589,15549.8968531516,"false"
"1688","nwis_08447300","sig_p",0.0825439094788986,0.0664537601550472,0.0994659532367958,1.00392992652351,1143.44916287395,"true"
"1689","nwis_08447300","sig_o",1.02363021991314,0.896552630492757,1.15943492411926,1.00307064575799,2251.86179101158,"false"
"1973","nwis_11044000","phi",0.888827174132922,0.824619225760975,0.948171243370641,1.0012464604724,951.163183743279,"true"
"1974","nwis_11044000","alpha",0.244098215704353,0.122167118098907,0.377355863059335,1.00120638534913,888.438541397982,"true"
"1975","nwis_11044000","beta",-0.607284306761728,-0.95596185494262,-0.342506110723247,1.00453241969326,711.140476597934,"true"
"1976","nwis_11044000","sig_p",0.249549167507214,0.204616465672763,0.298520841002875,1.00373281621437,889.011959900302,"true"
"1977","nwis_11044000","sig_o",0.49315392223921,0.384093842950517,0.621129074618391,1.00519713865813,757.535625455892,"true"
