site_name,nwis_id,nhdplus_id,long_name,lat,lon,coord_datum,alt,alt_datum,site_type,dvqcoefs.c,dvqcoefs.f,dvqcoefs.a,dvqcoefs.b,dvqcoefs.k,dvqcoefs.m,struct.canal_flag,struct.dam_flag,struct.npdes_flag
nwis_01021050,1021050,5197168,"St. Croix River at Milltown, Maine",45.17,-67.2966667,NAD83,NA,,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01036390,1036390,1736862,"Penobscot River at Eddington, Maine",44.82666667,-68.6966667,NAD83,7.2,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01104430,1104430,5867697,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",42.3981512,-71.2733903,NAD83,150,NGVD29,ST,0.509052171,0.457759021,7.036868803,0.172240979,0.279163254,0.37,95,0,95
nwis_01124000,1124000,6144833,"QUINEBAUG RIVER AT QUINEBAUG, CT",42.0223189,-71.9556289,NAD83,341.52,NGVD29,ST,0.399796563,0.460238435,22.21144396,0.139761565,0.112611865,0.4,95,95,95
nwis_01125100,1125100,6148379,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",41.97846389,-71.90051389,NAD83,350,NGVD29,ST,0.404076563,0.462711643,18.7489561,0.147288357,0.131995537,0.39,95,95,95
nwis_01184000,1184000,7700898,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",41.9873186,-72.6053669,NAD83,38.48,NGVD29,ST,1.951013141,0.168539941,16.19936258,0.361460059,0.031640394,0.47,0,0,0
nwis_01191000,1191000,7700166,"NORTH BRANCH PARK RIVER AT HARTFORD, CT",41.78443889,-72.7080556,NAD83,34.2,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01193050,1193050,7701224,"CONNECTICUT RIVER AT MIDDLE HADDAM, CT",41.5417656,-72.5531454,NAD83,NA,NA,ST-TS,1.903478184,0.176225305,13.33276438,0.393774695,0.039403236,0.43,0,0,0
nwis_01193463,1193463,NA,SALMON RIVER US WOLF BROOK NR N WESTCHESTER CT,41.57416944,-72.42947778,NAD83,125,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01195510,1195510,6174422,"QUINNIPIAC RIVER DS W CENTER ST AT SOUTHINGTON, CT",41.5991111,-72.8857222,NAD83,141,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01196222,1196222,NA,"QUINNIPIAC R NR MERIDEN, CT",41.5292642,-72.8634344,NAD83,100,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01196500,1196500,6177020,"QUINNIPIAC RIVER AT WALLINGFORD, CT",41.45026389,-72.841275,NAD83,19.24,NGVD29,ST,0.35072003,0.53966248,18.52255803,0.17033752,0.153935386,0.29,95,0,0
nwis_01196528,1196528,NA,"QUINNIPIAC RIVER US RTE 22 AT N HAVEN, CT",41.39795,-72.8682056,NAD83,8,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01200600,1200600,166182149,"HOUSATONIC RIVER NEAR NEW MILFORD, CT",41.5931499,-73.4495669,NAD83,201,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01201487,1201487,7716694,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT",41.4658222,-73.40320278,NAD83,256.18,NGVD29,ST,0.415750568,0.449831058,15.50102944,0.150168942,0.155169588,0.4,95,0,0
nwis_01203000,1203000,7713746,"SHEPAUG R NR ROXBURY, CT",41.54981744,-73.32984029,NAD83,281.98,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
