"","site_name","year","max_gap","Ndays","site_year"
"131","nwis_02336526",2015,7,311,"nwis_02336526_2015"
"132","nwis_02336526",2016,7,323,"nwis_02336526_2016"
"51","nwis_01649190",2010,8,312,"nwis_01649190_2010"
"52","nwis_01649190",2011,5,316,"nwis_01649190_2011"
"306","nwis_07191222",2009,4,341,"nwis_07191222_2009"
"307","nwis_07191222",2010,3,346,"nwis_07191222_2010"
"32","nwis_01608500",2012,2,352,"nwis_01608500_2012"
"33","nwis_01608500",2013,7,338,"nwis_01608500_2013"
"331","nwis_11044000",2015,7,292,"nwis_11044000_2015"
"332","nwis_11044000",2016,5,282,"nwis_11044000_2016"
"325","nwis_08447300",2012,10,320,"nwis_08447300_2012"
"326","nwis_08447300",2013,5,337,"nwis_08447300_2013"
